epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,3176.2,0.60642,0.31192,0.99735,0.9846,0.98729,0.99454,0.79841,0.80617,0.33649,1.24869,0.001175,0.001175,0.001175
127,3201.22,0.58772,0.30421,0.97879,0.97506,0.99397,0.99458,0.81138,0.77724,0.32178,1.22335,0.0011684,0.0011684,0.0011684
128,3226.19,0.57999,0.30537,0.98894,0.98311,0.98668,0.994,0.79859,0.81807,0.3348,1.28127,0.0011618,0.0011618,0.0011618
129,3251.24,0.59761,0.30548,0.99454,0.99571,0.98268,0.99467,0.79766,0.81414,0.33815,1.26037,0.0011552,0.0011552,0.0011552
130,3276.17,0.59668,0.31692,1.00359,0.98732,0.98992,0.99466,0.81553,0.75892,0.33077,1.20964,0.0011486,0.0011486,0.0011486
131,3301.3,0.60534,0.31453,1.00582,0.98734,0.9911,0.9947,0.8014,0.82306,0.33218,1.2829,0.001142,0.001142,0.001142
132,3326.52,0.59033,0.31113,0.98994,0.99118,0.98305,0.9944,0.79874,0.81949,0.3344,1.27955,0.0011354,0.0011354,0.0011354
133,3351.55,0.60026,0.30482,1.00016,0.98733,0.99072,0.99466,0.80095,0.81918,0.33948,1.28768,0.0011288,0.0011288,0.0011288
134,3376.66,0.57716,0.30533,0.98012,0.98722,0.98217,0.9945,0.8214,0.76693,0.31816,1.23638,0.0011222,0.0011222,0.0011222
135,3401.85,0.58829,0.29634,0.99571,0.98038,0.99153,0.9947,0.80836,0.78,0.3239,1.2371,0.0011156,0.0011156,0.0011156
136,3426.97,0.58192,0.30018,1.00633,0.98724,0.98729,0.99466,0.78685,0.84006,0.34579,1.29421,0.001109,0.001109,0.001109
137,3452.22,0.58664,0.30986,0.98798,0.99023,0.97458,0.99363,0.78377,0.84753,0.35394,1.3126,0.0011024,0.0011024,0.0011024
